Date,Aus_Beer
Jan-56,284
Apr-56,213
Jul-56,227
Oct-56,308
Jan-57,262
Apr-57,228
Jul-57,236
Oct-57,320
Jan-58,272
Apr-58,233
Jul-58,237
Oct-58,313
Jan-59,261
Apr-59,227
Jul-59,250
Oct-59,314
Jan-60,286
Apr-60,227
Jul-60,260
Oct-60,311
Jan-61,295
Apr-61,233
Jul-61,257
Oct-61,339
Jan-62,279
Apr-62,250
Jul-62,270
Oct-62,346
Jan-63,294
Apr-63,255
Jul-63,278
Oct-63,363
Jan-64,313
Apr-64,273
Jul-64,300
Oct-64,370
Jan-65,331
Apr-65,288
Jul-65,306
Oct-65,386
Jan-66,335
Apr-66,288
Jul-66,308
Oct-66,402
Jan-67,353
Apr-67,316
Jul-67,325
Oct-67,405
Jan-68,393
Apr-68,319
Jul-68,327
Oct-68,442
Jan-69,383
Apr-69,332
Jul-69,361
Oct-69,446
Jan-70,387
Apr-70,357
Jul-70,374
Oct-70,466
Jan-71,410
Apr-71,370
Jul-71,379
Oct-71,487
Jan-72,419
Apr-72,378
Jul-72,393
Oct-72,506
Jan-73,458
Apr-73,387
Jul-73,427
Oct-73,565
Jan-74,465
Apr-74,445
Jul-74,450
Oct-74,556
Jan-75,500
Apr-75,452
Jul-75,435
Oct-75,554
Jan-76,510
Apr-76,433
Jul-76,453
Oct-76,548
Jan-77,486
Apr-77,453
Jul-77,457
Oct-77,566
Jan-78,515
Apr-78,464
Jul-78,431
Oct-78,588
Jan-79,503
Apr-79,443
Jul-79,448
Oct-79,555
Jan-80,513
Apr-80,427
Jul-80,473
Oct-80,526
Jan-81,548
Apr-81,440
Jul-81,469
Oct-81,575
Jan-82,493
Apr-82,433
Jul-82,480
Oct-82,576
Jan-83,475
Apr-83,405
Jul-83,435
Oct-83,535
Jan-84,453
Apr-84,430
Jul-84,417
Oct-84,552
Jan-85,464
Apr-85,417
Jul-85,423
Oct-85,554
Jan-86,459
Apr-86,428
Jul-86,429
Oct-86,534
Jan-87,481
Apr-87,416
Jul-87,440
Oct-87,538
Jan-88,474
Apr-88,440
Jul-88,447
Oct-88,598
Jan-89,467
Apr-89,439
Jul-89,446
Oct-89,567
Jan-90,485
Apr-90,441
Jul-90,429
Oct-90,599
Jan-91,464
Apr-91,424
Jul-91,436
Oct-91,574
Jan-92,443
Apr-92,410
Jul-92,420
Oct-92,532
Jan-93,433
Apr-93,421
Jul-93,410
Oct-93,512
Jan-94,449
Apr-94,381
Jul-94,423
Oct-94,531
Jan-95,426
Apr-95,408
Jul-95,416
Oct-95,520
Jan-96,409
Apr-96,398
Jul-96,398
Oct-96,507
Jan-97,432
Apr-97,398
Jul-97,406
Oct-97,526
Jan-98,428
Apr-98,397
Jul-98,403
Oct-98,517
Jan-99,435
Apr-99,383
Jul-99,424
Oct-99,521
Jan-00,421
Apr-00,402
Jul-00,414
Oct-00,500
Jan-01,451
Apr-01,380
Jul-01,416
Oct-01,492
Jan-02,428
Apr-02,408
Jul-02,406
Oct-02,506
Jan-03,435
Apr-03,380
Jul-03,421
Oct-03,490
Jan-04,435
Apr-04,390
Jul-04,412
Oct-04,454
Jan-05,416
Apr-05,403
Jul-05,408
Oct-05,482
Jan-06,438
Apr-06,386
Jul-06,405
Oct-06,491
Jan-07,427
Apr-07,383
Jul-07,394
Oct-07,473
Jan-08,420
Apr-08,390
Jul-08,410
