Year,Tourist_Arrivals
1980,0.82989428
1981,0.85951092
1982,0.87668916
1983,0.86670716
1984,0.932052
1985,1.04826364
1986,1.3111932
1987,1.63756228
1988,2.0641074
1989,1.91268276
1990,2.03544572
1991,2.17721128
1992,2.38968344
1993,2.75059208
1994,3.0906664
1995,3.42664028
1996,3.83064908
1997,3.97190864
1998,3.83160036
1999,4.143101
2000,4.566551
2001,4.47541
2002,4.462796
2003,4.384829
2004,4.796861
2005,5.046211
2006,5.098759
2007,5.196519
2008,5.166843
2009,5.174744
2010,5.440894
