Model,Cylinders,Litres,Barrels,City,Highway,Cost,Carbon
Chevrolet Aveo,4,1.6,12.2,25,34,1012,6.6
Chevrolet Aveo 5,4,1.6,12.2,25,34,1012,6.6
Chevrolet Cobalt,4,2.2,12.7,24,33,1049,6.8
Chevrolet Colorado 2WD,4,2.9,17.1,18,24,1418,9.2
Chevrolet Colorado 2WD,5,3.7,18,17,23,1491,9.6
Chevrolet Colorado Cab Chassis inc 2WD,5,3.7,20.1,15,20,1667,10.8
Chevrolet Colorado Crew Cab 2WD,4,2.9,17.1,18,24,1418,9.2
Chevrolet Colorado Crew Cab 2WD,5,3.7,18,17,23,1491,9.6
Chevrolet HHR FWD,4,2,14.9,19,29,1233,8
Chevrolet HHR Panel FWD,4,2,14.9,19,29,1233,8
Chevrolet Malibu,4,2.4,13.2,22,33,1091,7.1
Chevrolet Malibu,4,2.4,13.7,22,30,1134,7.3
Chevrolet Malibu Hybrid,4,2.4,11.8,26,34,978,6.3
Chrysler PT Cruiser,4,2.4,16.3,19,24,1349,8.7
Chrysler PT Cruiser,4,2.4,16.3,18,24,1349,8.7
Chrysler Sebring,4,2.4,14.3,21,30,1182,7.7
Chrysler Sebring Convertible,4,2.4,14.9,20,29,1233,8
Dodge Avenger,4,2.4,14.3,21,30,1182,7.7
Dodge Caliber,4,2,14.3,23,27,1182,7.7
Dodge Caliber,4,2.4,14.9,21,25,1233,8
Dodge Journey 2WD,4,2.4,16.3,19,25,1349,8.7
Ford Escape FWD,4,2.5,14.9,20,28,1233,8
Ford Escape Hybrid FWD,4,2.5,10.7,34,31,887,5.7
Ford Focus FWD,4,2,12.7,24,33,1049,6.8
Ford Fusion FWD,4,2.3,14.9,20,28,1233,8
Ford Ranger Pickup 2WD,4,2.3,16.3,19,24,1349,8.7
GMC Canyon 2WD,4,2.9,17.1,18,24,1418,9.2
GMC Canyon 2WD,5,3.7,18,17,23,1491,9.6
GMC Canyon Cab Chassis Inc 2WD,5,3.7,20.1,15,20,1667,10.8
GMC Canyon Crew Cab 2WD,4,2.9,17.1,18,24,1418,9.2
GMC Canyon Crew Cab 2WD,5,3.7,18,17,23,1491,9.6
Honda Accord,4,2.4,14.3,21,30,1182,7.7
Honda Accord Coupe,4,2.4,14.3,21,30,1182,7.7
Honda Civic,4,1.8,11.8,25,36,978,6.3
Honda Civic Hybrid,4,1.3,8.2,40,45,675,4.4
Honda CR-V 2WD,4,2.4,14.9,20,27,1233,8
Honda Element 2WD,4,2.4,15.6,20,25,1290,8.3
Honda Fit,4,1.5,11.4,27,33,944,6.1
Honda Fit,4,1.5,11,28,35,916,5.9
Hyundai Accent,4,1.6,11.8,26,35,978,6.3
Hyundai Elantra,4,2,12.2,25,33,1012,6.6
Hyundai Elantra Touring,4,2,13.2,23,30,1091,7.1
Hyundai Sonata,4,2.4,13.7,22,32,1134,7.3
Hyundai Tucson 2WD,4,2,15.6,20,25,1290,8.3
Jeep Compass 2WD,4,2,14.3,23,27,1182,7.7
Jeep Compass 2WD,4,2.4,14.9,21,25,1233,8
Jeep Patriot 2WD,4,2,14.3,23,27,1182,7.7
Jeep Patriot 2WD,4,2.4,14.9,21,25,1233,8
Kia Optima,4,2.4,13.7,22,32,1134,7.3
Kia Rio,4,1.6,11.4,26,35,944,6.1
Kia Rondo,4,2.4,15.6,20,27,1290,8.3
Kia Spectra,4,2,12.7,24,32,1049,6.8
Kia Sportage 2WD,4,2,15.6,20,25,1290,8.3
Mazda 3,4,2,13.7,22,30,1134,7.3
Mazda 3,4,2.3,14.3,22,28,1182,7.7
Mazda 5,4,2.3,14.9,21,27,1233,8
Mazda 6,4,2.5,14.3,21,30,1182,7.7
Mazda B2300 2WD,4,2.3,16.3,19,24,1349,8.7
Mazda Tribute FWD,4,2.5,14.9,20,28,1233,8
Mazda Tribute Hybrid 2WD,4,2.5,10.7,34,31,887,5.7
Mercury Mariner FWD,4,2.5,14.9,20,28,1233,8
Mercury Mariner Hybrid FWD,4,2.5,10.7,34,31,887,5.7
Mercury Milan,4,2.3,14.9,20,28,1233,8
Mitsubishi Eclipse,4,2.4,15.6,19,26,1290,8.3
Mitsubishi Eclipse Spyder,4,2.4,15.6,19,26,1290,8.3
Mitsubishi Galant,4,2.4,14.9,20,27,1233,8
Mitsubishi Lancer,4,2,14.3,22,28,1182,7.7
Mitsubishi Lancer,4,2.4,14.9,21,27,1233,8
Mitsubishi Lancer Sportback,4,2.4,14.9,21,27,1233,8
Mitsubishi Outlander 2WD,4,2.4,15.6,20,25,1290,8.3
Nissan Altima,4,2.5,13.2,23,31,1091,7.1
Nissan Altima Coupe,4,2.5,13.2,23,31,1091,7.1
Nissan Altima Hybrid,4,2.5,10.1,35,33,833,5.4
Nissan Frontier 2WD,4,2.5,18,17,22,1491,9.6
Nissan Rogue FWD,4,2.5,14.3,22,27,1182,7.7
Nissan Sentra,4,2.5,13.2,24,30,1091,7.1
Nissan Versa,4,1.8,11.8,27,33,978,6.3
Nissan Versa,4,1.8,12.7,24,32,1049,6.8
Pontiac G3 Wave,4,1.6,12.2,25,34,1012,6.6
Pontiac G3 Wave 5,4,1.6,12.2,25,34,1012,6.6
Pontiac G5,4,2.2,12.7,24,33,1049,6.8
Pontiac G5 GT,4,2.2,13.2,23,32,1091,7.1
Pontiac G6,4,2.4,13.2,22,33,1091,7.1
Pontiac G6,4,2.4,13.7,22,30,1134,7.3
Pontiac Solstice,4,2,16.3,19,27,1349,8.7
Pontiac Solstice,4,2.4,16.3,19,24,1349,8.7
Pontiac Vibe,4,1.8,12.2,26,31,1012,6.6
Pontiac Vibe,4,2.4,14.3,21,29,1182,7.7
Saab 9-3 Convertible,4,2,15.6,19,27,1290,8.3
Saab 9-3 Sport Sedan,4,2,15.6,19,28,1290,8.3
Saab 9-3 SportCombi,4,2,15.6,19,27,1290,8.3
Saab 9-5 Sedan,4,2.3,17.1,17,27,1418,9.2
Saab 9-5 SportCombi,4,2.3,17.1,17,27,1418,9.2
Saturn Astra 2DR Hatchback,4,1.8,12.7,24,30,1049,6.8
Saturn Astra 4DR Hatchback,4,1.8,12.7,24,30,1049,6.8
Saturn Aura,4,2.4,13.2,22,33,1091,7.1
Saturn Aura Hybrid,4,2.4,11.8,26,34,978,6.3
Saturn SKY,4,2,16.3,19,27,1349,8.7
Saturn SKY,4,2.4,16.3,19,24,1349,8.7
Saturn Vue FWD,4,2.4,15.6,19,26,1290,8.3
Saturn Vue Hybrid,4,2.4,12.2,25,32,1012,6.6
Scion tC,4,2.4,14.3,21,29,1182,7.7
Scion xB,4,2.4,14.3,22,28,1182,7.7
Scion xD,4,1.8,12.2,26,32,1012,6.6
Suzuki Equator 2WD,4,2.5,18,17,22,1491,9.6
Suzuki Grand Vitara,4,2.4,16.3,19,25,1349,8.7
Suzuki SX4,4,2,13.7,22,30,1134,7.3
Suzuki SX4 Sedan,4,2,13.2,23,31,1091,7.1
Suzuki SX4 Sport,4,2,13.7,22,30,1134,7.3
Toyota Camry,4,2.4,13.7,21,31,1134,7.3
Toyota Camry Hybrid,4,2.4,10.1,33,34,833,5.4
Toyota Corolla,4,1.8,11.4,27,35,944,6.1
Toyota Corolla,4,2.4,13.7,22,30,1134,7.3
Toyota Matrix,4,1.8,12.2,25,31,1012,6.6
Toyota Matrix,4,2.4,14.3,21,29,1182,7.7
Toyota Prius,4,1.5,7.4,48,45,615,4
Toyota RAV4 2WD,4,2.5,14.3,22,28,1182,7.7
Toyota Tacoma 2WD,4,2.7,16.3,19,25,1349,8.7
Toyota Yaris,4,1.5,11,29,35,916,5.9
Volkswagen Jetta,5,2.5,14.3,20,29,1182,7.7
Volkswagen Jetta SportWagen,5,2.5,14.3,20,29,1182,7.7
Volkswagen New Beetle,5,2.5,14.9,20,29,1233,8
Volkswagen New Beetle Convertible,5,2.5,14.9,20,28,1233,8
Volkswagen Rabbit,5,2.5,14.3,20,29,1182,7.7
Volvo C30 FWD,5,2.4,14.9,20,28,1233,8
Volvo C30 FWD,5,2.5,14.9,19,28,1233,8
Volvo C70 Convertible,5,2.5,16.3,18,26,1349,8.7
Volvo S40 FWD,5,2.4,14.9,20,28,1233,8
Volvo S40 FWD,5,2.5,14.9,19,28,1233,8
Volvo S60 FWD,5,2.4,16.3,18,26,1349,8.7
Volvo S60 FWD,5,2.5,14.9,19,28,1233,8
Volvo S60 FWD,5,2.5,15.6,19,27,1290,8.3
Volvo V50 FWD,5,2.4,14.9,20,28,1233,8
Volvo V50 FWD,5,2.5,14.9,19,28,1233,8
