Date,Quotes,TV.advert
Jan-02,12.97065,7.212725
Feb-02,15.38714,9.44357
Mar-02,13.22957,7.53425
Apr-02,12.97065,7.212725
May-02,15.38714,9.44357
Jun-02,11.72288,6.415215
Jul-02,10.06177,5.80699
Aug-02,10.82279,6.2036
Sep-02,13.28707,7.58643
Oct-02,14.57832,8.004935
Nov-02,15.60542,8.83498
Dec-02,15.93515,8.957255
Jan-03,16.99486,9.53299
Feb-03,16.87821,9.39295
Mar-03,16.45128,8.91856
Apr-03,15.28118,8.37412
May-03,15.88901,9.844505
Jun-03,15.67747,9.84939
Jul-03,13.2878,8.40273
Aug-03,12.64484,7.920675
Sep-03,11.82771,7.436085
Oct-03,9.69184,6.34049
Nov-03,10.30415,6.939995
Dec-03,11.38253,6.9771
Jan-04,12.95149,8.010201
Feb-04,13.63092,9.56546
Mar-04,9.12098,6.27251
Apr-04,8.39468,5.707495
May-04,12.30076,7.96354
Jun-04,13.84831,8.494221
Jul-04,15.96246,9.789085
Aug-04,14.19738,8.692825
Sep-04,12.85922,8.05723
Oct-04,12.08837,7.588995
Nov-04,12.93375,8.244881
Dec-04,11.72235,6.67554
Jan-05,15.47126,9.219604
Feb-05,18.43898,10.9638
Mar-05,17.49186,10.45629
Apr-05,14.49168,8.7286
