Date,Pigs
Jan-80,76378
Feb-80,71947
Mar-80,33873
Apr-80,96428
May-80,105084
Jun-80,95741
Jul-80,110647
Aug-80,100331
Sep-80,94133
Oct-80,103055
Nov-80,90595
Dec-80,101457
Jan-81,76889
Feb-81,81291
Mar-81,91643
Apr-81,96228
May-81,102736
Jun-81,100264
Jul-81,103491
Aug-81,97027
Sep-81,95240
Oct-81,91680
Nov-81,101259
Dec-81,109564
Jan-82,76892
Feb-82,85773
Mar-82,95210
Apr-82,93771
May-82,98202
Jun-82,97906
Jul-82,100306
Aug-82,94089
Sep-82,102680
Oct-82,77919
Nov-82,93561
Dec-82,117062
Jan-83,81225
Feb-83,88357
Mar-83,106175
Apr-83,91922
May-83,104114
Jun-83,109959
Jul-83,97880
Aug-83,105386
Sep-83,96479
Oct-83,97580
Nov-83,109490
Dec-83,110191
Jan-84,90974
Feb-84,98981
Mar-84,107188
Apr-84,94177
May-84,115097
Jun-84,113696
Jul-84,114532
Aug-84,120110
Sep-84,93607
Oct-84,110925
Nov-84,103312
Dec-84,120184
Jan-85,103069
Feb-85,103351
Mar-85,111331
Apr-85,106161
May-85,111590
Jun-85,99447
Jul-85,101987
Aug-85,85333
Sep-85,86970
Oct-85,100561
Nov-85,89543
Dec-85,89265
Jan-86,82719
Feb-86,79498
Mar-86,74846
Apr-86,73819
May-86,77029
Jun-86,78446
Jul-86,86978
Aug-86,75878
Sep-86,69571
Oct-86,75722
Nov-86,64182
Dec-86,77357
Jan-87,63292
Feb-87,59380
Mar-87,78332
Apr-87,72381
May-87,55971
Jun-87,69750
Jul-87,85472
Aug-87,70133
Sep-87,79125
Oct-87,85805
Nov-87,81778
Dec-87,86852
Jan-88,69069
Feb-88,79556
Mar-88,88174
Apr-88,66698
May-88,72258
Jun-88,73445
Jul-88,76131
Aug-88,86082
Sep-88,75443
Oct-88,73969
Nov-88,78139
Dec-88,78646
Jan-89,66269
Feb-89,73776
Mar-89,80034
Apr-89,70694
May-89,81823
Jun-89,75640
Jul-89,75540
Aug-89,82229
Sep-89,75345
Oct-89,77034
Nov-89,78589
Dec-89,79769
Jan-90,75982
Feb-90,78074
Mar-90,77588
Apr-90,84100
May-90,97966
Jun-90,89051
Jul-90,93503
Aug-90,84747
Sep-90,74531
Oct-90,91900
Nov-90,81635
Dec-90,89797
Jan-91,81022
Feb-91,78265
Mar-91,77271
Apr-91,85043
May-91,95418
Jun-91,79568
Jul-91,103283
Aug-91,95770
Sep-91,91297
Oct-91,101244
Nov-91,114525
Dec-91,101139
Jan-92,93866
Feb-92,95171
Mar-92,100183
Apr-92,103926
May-92,102643
Jun-92,108387
Jul-92,97077
Aug-92,90901
Sep-92,90336
Oct-92,88732
Nov-92,83759
Dec-92,99267
Jan-93,73292
Feb-93,78943
Mar-93,94399
Apr-93,92937
May-93,90130
Jun-93,91055
Jul-93,106062
Aug-93,103560
Sep-93,104075
Oct-93,101783
Nov-93,93791
Dec-93,102313
Jan-94,82413
Feb-94,83534
Mar-94,109011
Apr-94,96499
May-94,102430
Jun-94,103002
Jul-94,91815
Aug-94,99067
Sep-94,110067
Oct-94,101599
Nov-94,97646
Dec-94,104930
Jan-95,88905
Feb-95,89936
Mar-95,106723
Apr-95,84307
May-95,114896
Jun-95,106749
Jul-95,87892
Aug-95,100506
